file,na,r,mpif,model,na,sol,z,bestlp,root,cuts,cuts,cuts,cuts,nodecount,time,status,gap,n_clients
GRID_MCLP_n100_m1000_d1_100_f1_1_s1.dat, NA ,3.4, MPIF ,NV, nobenders ,401206.9859,401206.9859,401206.9859,-9.25596E+61,19,7,17286,0,0,27.02,lpstatus: 101,0,1000
GRID_MCLP_n100_m1000_d1_100_f1_1_s5.dat, NA ,3.4, MPIF ,NV, nobenders ,792613.5389,792613.5389,792613.5389,-9.25596E+61,8,5,49494,0,0,27.852,lpstatus: 101,0,1000
GRID_MCLP_n100_m5000_d1_100_f1_1_s1.dat, NA ,3.4, MPIF ,NV, nobenders ,2007581.847,2007581.847,2007581.847,-9.25596E+61,19,7,88513,0,0,135.918,lpstatus: 101,0,5000
GRID_MCLP_n100_m5000_d1_100_f1_1_s5.dat, NA ,3.4, MPIF ,NV, nobenders ,3831869.881,3831869.881,3831869.881,-9.25596E+61,8,5,246994,0,0,141.713,lpstatus: 101,0,5000
GRID_MCLP_n100_m10000_d1_100_f1_1_s1.dat, NA ,3.4, MPIF ,NV, nobenders ,4062194.872,4062194.872,4062194.872,-9.25596E+61,19,7,179961,0,0,270.181,lpstatus: 101,0,10000
GRID_MCLP_n100_m10000_d1_100_f1_1_s5.dat, NA ,3.4, MPIF ,NV, nobenders ,7715671.15,7715671.15,7715671.15,-9.25596E+61,8,5,495157,0,0,287,lpstatus: 101,0,10000
GRID_MCLP_n100_m50000_d1_100_f1_1_s1.dat, NA ,3.4, MPIF ,NV, nobenders ,20372207.09,20372207.09,20372207.09,-9.25596E+61,19,7,894920,0,0,1484.651,lpstatus: 101,0,50000
GRID_MCLP_n100_m50000_d1_100_f1_1_s5.dat, NA ,3.4, MPIF ,NV, nobenders ,38915925.98,38915925.98,38915925.98,-9.25596E+61,8,5,2492493,0,0,1739.18,lpstatus: 101,0,50000
GRID_MCLP_n100_m100000_d1_100_f1_1_s1.dat, NA ,3.4, MPIF ,NV, nobenders ,40747414.88,40747414.88,40747414.88,-9.25596E+61,19,7,1793923,0,0,2958.532,lpstatus: 101,0,100000
GRID_MCLP_n100_m100000_d1_100_f1_1_s5.dat, NA ,3.4, MPIF ,NV, nobenders ,84412004.52,-9.25596E+61,8111516.433,-9.25596E+61,2,5,4995935,0,0,3638.858,lpstatus: 108,0.903905653,100000
